               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028618,            0.060152,            0.011263,             0.74763,             0.76752,             0.81216,             0.63703,            0.025596,            0.058202,           0.0098612,            0.002872,            0.002872,            0.002872
                  38,            0.028427,            0.058453,            0.010777,             0.77176,             0.75451,             0.81994,              0.6537,            0.024506,            0.057691,           0.0095272,            0.002674,            0.002674,            0.002674
                  39,            0.027991,            0.058509,            0.010941,             0.79456,             0.75288,             0.82795,             0.65505,            0.024541,            0.058257,           0.0094459,            0.002476,            0.002476,            0.002476
                  40,            0.026897,             0.05849,            0.010308,              0.7505,             0.76985,             0.81815,             0.65357,            0.024567,            0.057373,            0.009391,            0.002278,            0.002278,            0.002278
                  41,            0.027081,            0.058539,            0.010446,             0.81563,             0.74244,             0.82336,             0.65938,            0.024599,            0.058968,           0.0090099,             0.00208,             0.00208,             0.00208
                  42,            0.026984,            0.058617,           0.0099271,             0.81171,             0.73003,             0.82196,             0.66418,            0.024013,            0.056524,           0.0090998,            0.001882,            0.001882,            0.001882
                  43,            0.025456,            0.054244,           0.0099207,             0.83412,             0.74468,             0.83192,             0.66316,            0.024528,            0.058338,           0.0088695,            0.001684,            0.001684,            0.001684
                  44,            0.026183,             0.05986,           0.0099212,             0.81571,             0.73795,              0.8304,             0.67322,            0.023728,             0.05845,           0.0086395,            0.001486,            0.001486,            0.001486
                  45,            0.026431,            0.056915,           0.0098975,               0.836,             0.74287,             0.82918,             0.67887,            0.023489,            0.057283,           0.0084555,            0.001288,            0.001288,            0.001288
                  46,            0.025364,            0.054496,           0.0097219,             0.82383,             0.74059,              0.8297,              0.6834,              0.0234,            0.056166,           0.0086278,             0.00109,             0.00109,             0.00109
                  47,            0.024862,            0.054703,             0.00953,              0.8157,             0.74416,             0.82934,             0.68177,            0.023282,            0.056058,           0.0085439,            0.000892,            0.000892,            0.000892
                  48,            0.026059,            0.057276,           0.0093647,             0.82923,              0.7581,             0.84247,             0.69068,            0.023197,            0.055571,           0.0084033,            0.000694,            0.000694,            0.000694
                  49,             0.02404,            0.052595,           0.0093413,             0.83498,             0.74232,             0.83975,             0.69128,            0.023178,            0.055772,           0.0081312,            0.000496,            0.000496,            0.000496
